Institution Number,PI Last Name,PI First Name,PI Department Name,Investigator ALL Last Name,Investigator ALL First Name,Investigator ALL Dept or Unit,Sponsor Name,Project Title,Requested Project Period Start Date,Requested Project Period End Date,Project Total Requested Sponsor Costs (entire project),Current Proposal Status,Current Proposal Status Date,ARRA Funding,Sponsor Award Number
PD300021,Riley,Brien,Psychiatry,Alexander~Maher~Wang~Riley~Kendler~Kuo~Kalsi~Webb~,Jeffry~Brion~Huan~Brien~Kenneth~Po-Hsiu~Gursharan~Bradley~,Psychiatry~Psychiatry~Biostatistics~Psychiatry~Psychiatry~Psychiatry~Psychiatry~Psychiatry~,National Institutes of Health,Identification of genes for alcohol dependence from pooled whole genome data.,1-Nov-07,31-Oct-09,409750,Proposal Not Awarded,26-Jan-09,N,NA
PD300022,Mayer,Darly,Biology,~Farley~Mayer~,Post Doc/TBD~Julie~Darly~,Biology~Biology~Biology~,National Institutes of Health,Characterization of P. falciparum homologues of L. pneumophila Dot/Icm effectors,1-Jun-07,1-Jun-09,368619,Proposal Not Awarded,17-Jul-07,N,NA
PD300023,Essah,Paulina,General Medicine and Primary Care,Thacker~Reynolds~Research Assistant~Downs~Evans~Essah~,Leroy~Kimberly~TBD~Robert~Ronald~Paulina~,Nursing~Gerontology~Virginia Commonwealth University~Endocrinology and Metabolism~Health and Human Performance~General Medicine and Primary Care~,National Institutes of Health,Peptide YY and Long-term Weight Maintenance,3-Jan-08,3-Jan-13,1467114,Proposal Not Awarded,26-Jun-07,N,NA
PD300024,Chen,Xiangning,Psychiatry,Maher~~~Kendler~Van Den Oord~Chen~,Brion~TBD~TBD~Kenneth~Edwin~Xiangning~,Psychiatry~Virginia Commonwealth University~Virginia Commonwealth University~Psychiatry~Pharmacotherapy & Outcomes Science~Psychiatry~,National Institutes of Health,Characterization and functional studies of schizophrenia candidate genes,1-Sep-07,31-Aug-12,1801250,Proposal Not Awarded,9-Nov-07,N,NA
PD300025,Li,Pin-Lan,Pharmacology and Toxicology,Zhang~Evans~van Breemen~Jin~Li~,Fan~Cindy~Cornelis~Si~Pin-Lan~,Pharmacology and Toxicology~Pharmacology and Toxicology~Pharmacology~Pharmacology and Toxicology~Pharmacology and Toxicology~,National Institutes of Health,NAADP-Sensitive Lysosomal Ca2+ Release Channels-TRP-ML1 in Arterial Myocytes,1-Dec-07,30-Nov-12,1738750,Proposal Not Awarded,16-Jul-08,N,NA
PD300026,Adler,Stuart,Pediatrics,~Millam~Bailey~Manganello~Lee~Adler~Best~Marshall~,TBD-Research Nurse~Cheryl~Debra~Anne-Marie~Ronzo~Stuart~Alvin~Beth~,Virginia Commonwealth University~Pediatrics~Pediatrics~Pediatrics~Pediatrics~Pediatrics~Periodontics~Pediatrics~,National Institutes of Health,Passive Immunization to CMV in Pregnant Women.,1-Dec-07,30-Nov-12,3576440,Proposal Not Awarded,26-Jun-07,N,NA
PD300027,Elsea,Sarah,Pediatrics,Tokarz~Zies~Williams~Bucan~Smith~Girirajan~Szomju~Elsea~Wiley~Lister~Windle~,Mary~Deborah~Stephen~Maja~Ann~Santhosh~Barbara~Sarah~Jenny~James~Jolene~,Pharmacology and Toxicology~University of Mary Washington~Pediatrics~University of Pennsylvania~National Institutes of Health~Pediatrics~Internal Medicine~Pediatrics~Pharmacology and Toxicology~Human and Molecular Genetics~Human and Molecular Genetics~,National Institutes of Health,Molecular analysis of del(17)p11.2: the role of RAI1 in Smith-Magenis syndrome,1-Dec-07,30-Nov-12,1785465,Proposal Not Awarded,12-Feb-08,N,NA
PD300028,Sim-Selley,Laura,Pharmacology and Toxicology,Blendy~Hernandez~Nestler~Robishaw~Nguyen~Falenski~Selley~Sim-Selley~Lichtman~Wiley~Martin~,Julie~Jerry~Eric~Janet~Peter~Katherine~Dana~Laura~Aron~Jenny~Billy~,NA,National Institutes of Health,Brain Cannabinoid Signalling: Selectivity and Adaptation,1-Dec-07,30-Nov-12,1663548,Proposal Not Awarded,6-Jun-07,N,2R01DA014277-06
PD300029,de Wit,Marjolein,Pulmonary Disease,Moss~Gennings~Gehr~Weaver~de Wit~,Marc~Chris~Todd~Michael~Marjolein~,University of Colorado~Biostatistics~Nephrology~General Medicine and Primary Care~Pulmonary Disease~,National Institutes of Health,Assessing Alcohol and Other Drug Use Disorders in Non-Verbal ICU Patients,1-Feb-08,31-Jan-10,409702,Proposal Not Awarded,26-Jun-07,N,NA
PD300030,Desai,Umesh,Medicinal Chemistry Pharmacy,Riaz~Liang~Raghuraman~Henry~Desai~,Muhammad~Aiye~Arjun~Brian~Umesh~,Medicinal Chemistry Pharmacy~Medicinal Chemistry Pharmacy~Medicinal Chemistry Pharmacy~Medicinal Chemistry Pharmacy~Medicinal Chemistry Pharmacy~,National Institutes of Health,Dual Direct Inhibitors of Thrombin and Factor Xa,1-Oct-07,30-Sep-11,1361948,Proposal Withdrawn,1-Nov-07,N,1R01HL090586-01
PD300031,Eissenberg,Thomas,Psychology,Primack~Shihadeh~Saliba~El-Sabban~Sams~~~~~~~~~~~~~Weaver~Eissenberg~Brown~,Brian~Alan~Najat~Marwan~Cynthia~TBD - Research Assistant~TBD - Observer and data scorer~TBD - Observer and data scorer~TBD - Observer and data scorer~TBD - Biology research assistant~TBD - Research Assistant~TBD - Observer and data scorer~TBD - Observer and data scorer~TBD - Research Engineer~TBD - Analytical Chemist~TBD - Digital record data scorer~TBD - Observer and data scorer~Michael~Thomas~Kirk~,NA,National Cancer Institute/NIH/DHHS,Waterpipe tobacco smoke: toxicant exposure and effects,1-Dec-07,31-Dec-13,3423199,Award In Closeout,24-Feb-14,N,5R01CA120142-05R
PD300033,Siminoff,Laura,Social and Behavioral Health,Swaminathan~Dumenci~Siminoff~Ginder~Corcoran~,Aruna~Levent~Laura~Gordon~Jacqueline~,Social and Behavioral Health~Social and Behavioral Health~Social and Behavioral Health~Hematology/Oncology - Internal Medicine~MSW Program~,National Institutes of Health,Family-Patient Communication and Cancer Outcomes,1-Apr-08,31-Mar-13,3547930,Proposal Not Awarded,23-Oct-07,N,NA
PD300034,Eissenberg,Thomas,Psychology,Shadel~~~Primack~Haviland~Horner~Donny~Sams~Jones~Coddington~Weaver~Eissenberg~,William~TBD Research Programmer~TBD-Research Assistant~Brian~Amelia~Michelle~Eric~Cynthia~Melissa~Sarah~Michael~Thomas~,Pittsburgh Office~Pittsburgh Office~Virginia Commonwealth University~Medicine~Pittsburgh Office~Pittsburgh Office~Psychology~Institute for Drug and Alcohol Studies~Pediatrics~Pediatrics~General Medicine and Primary Care~Psychology~,National Institutes of Health,Integrating survey and laboratory methods to understand waterpipe tobacco smoking,1-Mar-08,29-Feb-12,1960747,Proposal Not Awarded,26-Jun-07,N,NA
PD300036,Medina de Jesus,Alexandre,Anatomy and Neurobiology,Manhaes~Filgueiras~Abreu-Villaca~Medina de Jesus~,Alex~Claudio~Yael~Alexandre~,Physiology~Physiology~Physiology~Anatomy and Neurobiology~,National Institutes of Health,Improving Learning and Memory in a Model of Fetal Alcohol Spectrum Disorder,1-Dec-07,30-Nov-10,108840,Proposal Not Awarded,30-Jul-07,N,NA
PD300037,Barbour,Suzanne,Biochemistry and Molecular Biology,Leitinger~Griffiths~Barbour~Zehner~,Norbert~Rachael~Suzanne~Zendra~,University of Virginia~Biochemistry and Molecular Biology~Biochemistry and Molecular Biology~Biochemistry and Molecular Biology~,National Institutes of Health,Regulation of PAF Acetylhydrolase Expression by Oxidized Phospholipids,1-Dec-07,30-Nov-09,361696,Proposal Withdrawn,13-Nov-07,N,NA
PD300038,Beardsley,Patrick,Pharmacology and Toxicology,Buettner~Renger~Batman~Beardsley~,Ayn~John~Angela~Patrick~,Pharmacology and Toxicology~Merck Research Laboratories~Pharmacology and Toxicology~Pharmacology and Toxicology~,National Institutes of Health,Histamine H3 Receptor Modulates Methamphetamine's Stimuli_ Extinction & Relapse,1-Jan-08,31-Dec-10,848914,Proposal Not Awarded,13-Jan-09,N,NA
PD300040,Bowlin,Gary,Biomedical Engineering,~Greisler~~Ivatury~White~Bowlin~,TBD~Howard~TBD~Rao~Kimber~Gary~,Virginia Commonwealth University~Loyola University Chicago~Virginia Commonwealth University~Surgery~Pharmacology and Toxicology~Biomedical Engineering~,National Institutes of Health,Electrospun Bioresorbable Vascular Prosthetic,1-Dec-07,30-Nov-11,1370531,Proposal Not Awarded,26-Jun-07,N,NA
PD300041,Mas,Valeria,Surgery,~~Gibney~Mangino~Posner~Dumur~King~Fisher~Maluf~Mas~Massey~Archer~,TBD~TBD~Eric~Martin~Marc~Catherine~Anne~Robert~Daniel~Valeria~Hugh~Kellie~,Virginia Commonwealth University~Virginia Commonwealth University~Nephrology~Surgery~Surgery~Pathology~Nephrology~Surgery~Surgery~Surgery~Pathology~Biostatistics~,National Institutes of Health,Molecular pathways leading to chronic graft dysfunction,1-Dec-07,30-Nov-12,1862500,Proposal Withdrawn,24-Oct-07,N,NA
PD300043,Sim-Selley,Laura,Pharmacology and Toxicology,He~Falenski~Middleton~Selley~Sim-Selley~Lichtman~Spiegel~Martin~Karnam~Welch~,Hengjun~Katherine~Lisa~Dana~Laura~Aron~Sarah~Billy~Srinivasa~Sandra~,NA,National Institutes of Health,Functions and Interactions of Lysolipid Receptors in the CNS,1-Apr-08,31-Mar-13,1862500,Proposal Not Awarded,17-Oct-07,N,1R01DA021854-01A2
PD300044,Abdrakhmanova,Galia,Pharmacology and Toxicology,~Abdrakhmanova~Damaj~,TBD~Galia~M~,Virginia Commonwealth University~Pharmacology and Toxicology~Pharmacology and Toxicology~,National Institute on Drug Abuse/NIH/DHHS,nAChRs in dorsal root ganglia neurons in mice chronic neuropathic pain model,1-Apr-08,31-Mar-10,136281,Proposal Not Awarded,17-Oct-07,N,1R03DA024833-01
PD300045,Krist,Alexander,Family Medicine and Population Health,Longo~Peele~Mitchell~Matzke~~Burgett~Woolf~Rothemich~Johnson~Hale~Flores~Krist~Devers~McCormally~,Daniel~Eric~Steven~Gary~TBD - Survey Production Assistant~Amy~Steven~Stephen~Robert~Carole~Sharon~Alexander~Kelly~Terence~,NA,Agency for Healthcare Research and Quality/DHHS,An Interactive Preventive Health Record (IPHR) to Promote Patient-Centered Care,1-Jul-07,30-Jun-10,1144020,Award Closed,12-Feb-14,N,5R18HS017046-03
PD300047,McQuiston,Adam,Anatomy and Neurobiology,Schanuel~Henderson~McQuiston~,Sheine~Scott~Adam~,Anatomy and Neurobiology~Anatomy and Neurobiology~Anatomy and Neurobiology~,National Institutes of Health,Heterologous expression of an invertebrate sodium channel for selective neuronal activation,1-Sep-07,31-Aug-09,293100,Proposal Not Awarded,16-Apr-08,N,NA
PD300048,Lyall,Vijay,Physiology and Biophysics,Ren~Mummalaneni~Melone~Phan~Desimone~Lyall~Heck~,ZuoJun~Shobha~Pamela~Tamhao~John~Vijay~Gerard~,Physiology and Biophysics~Physiology and Biophysics~Physiology and Biophysics~Physiology and Biophysics~Physiology and Biophysics~Physiology and Biophysics~Physiology and Biophysics~,National Institutes of Health,CELLULAR BASIS OF ALCOHOL AND NICOTINE EFFECTS ON GUSTATORY NERVE RESPONSES,1-Dec-07,30-Nov-12,1328737,Proposal Not Awarded,6-Jun-07,N,NA
PD300049,Kepley,Christopher,Rheumatology_ Allergy_ and Immunology,Lee~Bateman~Carpenter~Ryan~Conrad~Schwartz~Kepley~,David~Henry~Everett~John~Daniel~Lawrence~Christopher~,Brigham and Women's Hospital~Rheumatology_ Allergy_ and Immunology~Chemistry~Biology~Microbiology and Immunology~Rheumatology_ Allergy_ and Immunology~Microbiology and Immunology~,National Institutes of Health,Using Nanomaterials to Inhibit Mast Cell/Basophil-Associated Disease,1-Dec-07,30-Nov-12,1668900,Proposal Not Awarded,12-Mar-08,N,NA
PD300050,Lee,Ruey-Min,Hematology/Oncology - Internal Medicine,Rudek~Durrant~Lee~Fatouros~Kellogg~Fang~Simoni~,Michelle~David~Ruey-Min~Panos~Glen~Xianjun~Daniele~,Sidney Kimmel Comprehensive Cancer Center~Massey Cancer Center~Hematology/Oncology - Internal Medicine~Radiology~Medicinal Chemistry Pharmacy~Biochemistry and Molecular Biology~Medicinal Chemistry (Scienze Famaceutiche)~,National Institutes of Health,Stilbenes as vascular disrupting agents for cancer therapy,1-Jan-08,31-Dec-12,1493138,Proposal Not Awarded,26-Jun-07,N,NA
PD300051,Manjili,Masoud,Microbiology and Immunology,Kmieciak~Morales~Knutson~Arjona~Manjili~Taylor~,Maciej~Johanna~Keith~Maria~Masoud~Shirley~,Massey Cancer Center~Biology~Immunology~Microbiology and Immunology~Massey Cancer Center~Microbiology and Immunology~,National Institutes of Health,Cellular and molecular mechanisms of immune editing of HER-2/neu positive mammary carcinoma,1-Apr-08,31-Mar-13,1793189,Proposal Not Awarded,5-Oct-07,N,NA
PD300052,Tombes,Robert,Biology,Easley~Myers~McLeod~Francescatto~Tombes~,Charles~Alexandra~Jamie~Ludmila~Robert~,Biochemistry and Molecular Biology~Biology~Biology~Life Sciences~Biology~,National Institutes of Health,CaMK-II: A Central Signaling Hub in Cell Migration and Proliferation,1-Dec-07,30-Nov-11,1260099,Proposal Not Awarded,26-Jun-07,N,NA
PD300053,Reeves,Thomas,Anatomy and Neurobiology,Smith~Lee~Povlishock~Reeves~Fillmore~Henderson~,Terry~Nancy~John~Thomas~Helen~Scott~,Biology~Anatomy and Neurobiology~Anatomy and Neurobiology~Anatomy and Neurobiology~Neurosurgery~Anatomy and Neurobiology~,National Institute of Neurological Disorders and Stroke/NIH/DHHS,Axolemmal Molecular Domains and Unmyelinated Fiber Vulnerability in TBI,1-Dec-07,30-Nov-13,1845349,Award Closed,31-Oct-13,N,5R01NS057758-05R
PD300055,Kordula,Tomasz,Biochemistry and Molecular Biology,~~~~Rao~Kordula~,TBD~TBD~TBD~TBD~Raj~Tomasz~,Virginia Commonwealth University~Virginia Commonwealth University~Virginia Commonwealth University~Virginia Commonwealth University~Chemical Engineering~Biochemistry and Molecular Biology~,National Institutes of Health,Analysis of the astrocyte-specific gene expression.,1-Jan-08,31-Dec-12,1806111,Proposal Not Awarded,6-Jun-07,N,NA
PD300056,Yeudall,William,Oral and Craniofacial Molecular Biology,Miyazaki~Wang~Deb~Yeudall~,Hiroshi~Huixin~Sumitra~William~,Oral and Craniofacial Molecular Biology~Deans Office - Dentistry~Biochemistry and Molecular Biology~Oral and Craniofacial Molecular Biology~,National Institutes of Health,Chemokines and mutant p53 in cancer progression,1-Apr-08,31-Mar-13,1676250,Proposal Not Awarded,17-Oct-07,N,1R01CA133210-01
PD300057,Nicola,Anthony,Microbiology and Immunology,Delboy~Nicola~,Mark~Anthony~,Microbiology and Immunology~Microbiology and Immunology~,National Institutes of Health,Cellular mechanisms of herpes simplex virus entry,1-Jan-08,31-Dec-12,1638067,Proposal Not Awarded,30-Jul-07,N,1R01AI073662-01A1
PD300058,Walsh,Scott,Obstetrics and Gynecology,Washington~Walsh~Ratz~,Sonya~Scott~Paul~,Obstetrics and Gynecology~Obstetrics and Gynecology~Biochemistry and Molecular Biology~,National Institutes of Health,Obesity as a Risk Factor for Preeclampsia,1-Dec-07,30-Nov-12,1586228,Proposal Not Awarded,26-Jun-07,N,NA
PD300059,Guo,Tai,Pharmacology and Toxicology,Brown~Zheng~Fitzpatrick~Meng~Guo~Miles~White~,Ronnetta~Jianfeng~Elizabeth~Andrew~Tai~Michael~Kimber~,Pharmacology and Toxicology~Pharmacology and Toxicology~University of Tennessee Health Science Center~Pharmacology and Toxicology~Pharmacology and Toxicology~Pharmacology and Toxicology~Pharmacology and Toxicology~,National Institutes of Health,Genistein modulation of hypersensitivity pneumonitis and asthma,1-Oct-07,30-Sep-11,1233479,Proposal Not Awarded,26-Jun-07,N,NA
PD300060,Al-Majid,Sadeeka,Adult Health and Nursing Systems,Stillman~Russell~Schubert~Pidcoe~Al-Majid~McCain~,Julie~Sally~Christine~Peter~Sadeeka~Nancy~,Adult Health and Nursing Systems~Family and Community Health Nursing~Biostatistics~Physical Therapy~Adult Health and Nursing Systems~Adult Health and Nursing Systems~,National Institutes of Health,Effects of Resistance Exercise on Biobehavioral Outcomes of Fatigue,1-Dec-07,30-Nov-09,484250,Proposal Not Awarded,26-Jun-07,N,NA
PD300061,Eissenberg,Thomas,Psychology,Austin~Shihadeh~Sams~Eissenberg~,Janet~Alan~Cynthia~Thomas~,Institute for Drug and Alcohol Studies~Mechanical Engineering~Institute for Drug and Alcohol Studies~Psychology~,National Institutes of Health,Understanding waterpipe tobacco smoke toxicant content: sampling in REALTIME,1-Oct-07,30-Sep-11,1012918,Proposal Not Awarded,6-Nov-07,N,NA
PD300062,Ritter,Joseph,Pharmacology and Toxicology,Smith~DeLong~Walle~Guo~Ritter~Kessler~,Philip~Amy~Thomas~Tai~Joseph~Fay~,University of North Carolina at Chapel Hill~Pharmacology and Toxicology~Medical University of South Carolina~Pharmacology and Toxicology~Pharmacology and Toxicology~Pharmacology and Toxicology~,National Institutes of Health,Flavonoid disposition as a determinant of colitis and colon cancer,1-Dec-07,30-Nov-09,408104,Proposal Not Awarded,4-Mar-08,N,NA
PD300063,Ericksen,Jeffery,Physical Medicine and Rehabilitation,Thacker~Isaacs~Pidcoe~Ericksen~Zeh~,Leroy~Edward~Peter~Jeffery~Tricia~,Nursing~N/A~Physical Therapy~Physical Medicine and Rehabilitation~Physical Medicine and Rehabilitation~,National Institutes of Health,Biomechanical and Ventilatory Changes after Sacroiliac Joint Manipulation,3-Dec-07,2-Dec-09,370953,Proposal Not Awarded,26-Jun-07,N,NA
PD300064,Tseng,Gea-Ny,Physiology and Biophysics,Zhang~Kasirajan~Tseng~Wood~Jiang~,Mei~Vigneshwar~Gea-Ny~Mark~Min~,Physiology and Biophysics~Surgery~Physiology and Biophysics~Cardiology - Internal Medicine~Physiology and Biophysics~,National Center for Complementary and Alternative Medicine/NIH/DHHS,Molecular Mechanisms of Anti- & Pro-Arrhythmic Effects of Fish Oil Supplement,1-Dec-07,31-Dec-10,404493,Award Archived,16-Oct-12,N,5R21AT004460-02
PD300065,Lloyd,Joyce,Human and Molecular Genetics,Basu~Lingrel~Dumur~Lloyd~Miles~Haar~Ginder~Sawyer~O'Connell~Archer~,Mohua~Jerry~Catherine~Joyce~Michael~Jack~Gordon~Stephen~Peter~Kellie~,NA,National Institutes of Health,Effects of developmental stage and of KLF2 on mouse erythroid genetic profiles,1-Dec-07,30-Nov-10,1159317,Proposal Not Awarded,27-Feb-08,N,NA
PD300066,Kellum,John,Surgery,Howell~Baumgarten~Grider~Kellum~Yager~,Jessica~Clive~John~John~Dorne~,Non-VCU~Physiology and Biophysics~Physiology and Biophysics~Surgery~Surgery~,National Institutes of Health,Surgical Studies of Intestinal Serotonin,1-Dec-07,30-Nov-12,1676250,Proposal Not Awarded,6-Jun-07,N,NA
PD300067,Deb,Swati,Biochemistry and Molecular Biology,Graves~Shevchuk~Ramamoorthy~Deb~Deb~,Paul~Nikolai~Mahesh~Swati~Sumitra~,Radiation Oncology~Radiation Oncology~Biochemistry and Molecular Biology~Biochemistry and Molecular Biology~Biochemistry and Molecular Biology~,National Institutes of Health,A novel oncogenic pathway activated by mutant p53 and MDM2 in human tumor,1-Dec-07,30-Nov-12,1789551,Proposal Not Awarded,26-Jun-07,N,NA
PD300068,Zhang,Yan,Medicinal Chemistry Pharmacy,Selley~Dewey~Zhang~,Dana~William~Yan~,Pharmacology and Toxicology~Pharmacology and Toxicology~Medicinal Chemistry Pharmacy~,National Institutes of Health,Non-peptide Mu Opioid Receptor Selective Antagonists,1-Dec-07,30-Nov-12,1490000,Proposal Withdrawn,7-Mar-08,N,1R01DA024022-01
PD300069,Xu,Ping,Oral and Craniofacial Molecular Biology,Stone_ Victoria~Ge~~~Munro~Xu~Kitten~,~Xiuchun~TBD~TBD~Cindy~Ping~Todd~,TBD~Oral and Craniofacial Molecular Biology~Pediatrics~Pediatrics~Adult Health and Nursing Systems~Oral and Craniofacial Molecular Biology~Oral and Craniofacial Molecular Biology~,National Institute of Dental and Craniofacial Research/NIH/DHHS,Regulation Of Fitness And Virulence In Oral Streptococci,1-Jan-08,31-Dec-12,1799773,Award Closed,8-Sep-14,N,5R01DE018138-05 Revised
PD300071,Ratz,Paul,Biochemistry and Molecular Biology,Miner~Speich~Ratz~,Amy~John~Paul~,Biochemistry and Molecular Biology~Mechanical Engineering~Biochemistry and Molecular Biology~,National Institute of Diabetes and Digestive and Kidney Diseases/NIH/DHHS,Regulation of Detrusor Smooth Muscle Contraction,1-Dec-07,30-Nov-12,1850250,Proposal Not Awarded,6-Jun-07,N,NA
PD300073,Lebman,Deborah,Microbiology and Immunology,Miller~Williams~Kim~Lebman~,Anna~David~Eugene~Deborah~,Radiation Oncology~Pathology~Microbiology and Immunology~Microbiology and Immunology~,National Institutes of Health,The Role of Alterations in the TGF-beta Pathway in Esophageal Cancer,1-Apr-08,31-Mar-13,1850976,Proposal Not Awarded,5-Oct-07,N,NA
PD300074,Hylemon,Phillip,Microbiology and Immunology,Ridlon~Kang~~Hylemon~Rastinejad~,Jason~Dae-Joong~TBD~Phillip~Fraydoon~,Microbiology and Immunology~Oral and Craniofacial Molecular Biology~Pediatrics~Microbiology and Immunology~Pharmacology~,National Institutes of Health,Molecular Biology of Intestinal Bile Acid Metabolism,1-Feb-08,31-Jan-13,1876279,Proposal Not Awarded,2-Jun-08,N,NA
PD300075,Niemeier,Janet,Physical Medicine and Rehabilitation,Rawlings~DeGrace~Gary~Howard~Worthington-Stoneman~Cifu~Kreutzer~Gennings~Walker~Niemeier~Clore~Marwitz~Zeh~,Marian~Shy~Kelli~Sara~Danielle~David~Jeffrey~Chris~William~Janet~John~Jennifer~Tricia~,NA,National Institute of Child Health and Human Development/NIH/DHHS,An Acute Neurobehavioral Program for Improving Functional Status after TBI,1-Oct-07,1-Oct-12,1545681,Award Closed,4-Feb-13,N,5R01HD052922-05 revised
PD300076,Li,Ningjun,Pharmacology and Toxicology,Guo~Li~,Tai~Ningjun~,Pharmacology and Toxicology~Pharmacology and Toxicology~,National Institutes of Health,Stem Cell Niche in the Renal Medulla: Implication in Salt Sensitive Hypertension,1-Dec-07,30-Nov-09,409750,Proposal Not Awarded,15-Jan-09,N,NA
PD300077,Varvel,Stephen,Pharmacology and Toxicology,Varvel~Lichtman~Martin~,Stephen~Aron~Billy~,Pharmacology and Toxicology~Pharmacology and Toxicology~Pharmacology and Toxicology~,National Institutes of Health,Targeting the Endocannabinoid System to Treat THC Dependence,1-Dec-07,30-Nov-12,1117500,Proposal Not Awarded,7-Mar-08,N,NA
PD300078,Qiao,Liya,Physiology and Biophysics,~~Akbarali~Grider~Qiao~,TBA~TBD~Hamid~John~Liya~,Physiology~Physiology~Pharmacology and Toxicology~Physiology and Biophysics~Physiology and Biophysics~,National Institute of Diabetes and Digestive and Kidney Diseases/NIH/DHHS,Neurotrophins and Neuropeptides in Colon and Bladder Hypersensitivity,1-Dec-07,30-Nov-12,1513509,Award Closed,31-Oct-13,N,5R01DK077917-05
